model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
JEEP Compass,2.4,4,Man-5,2WD,Gasoline,SUV,7.0,23.0,28.0,25.0,7,yes,KIA Sorento,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,18.0,25.0,20.0,4.0,No
JEEP Compass,2.4,4,Auto-AV,4WD,Gasoline,SUV,7.0,21.0,24.0,22.0,6,yes,KIA Sorento,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,17.0,23.0,19.0,3.0,No
JEEP Compass,2.4,4,Man-5,4WD,Gasoline,SUV,7.0,22.0,27.0,24.0,7,yes,KIA Sorento FE,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,18.0,25.0,21.0,4.0,No
JEEP Grand Cherokee,3.7,6,Auto-L5,2WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,KIA Soul,1.6,4.0,AutoMan-7,2WD,Gasoline,station wagon,3.0,26.0,31.0,28.0,6.0,No
JEEP Grand Cherokee,3.7,6,Auto-L5,4WD,Gasoline,SUV,6.0,15.0,19.0,17.0,4,no,KIA Soul,1.6,4.0,Man-6,2WD,Gasoline,station wagon,3.0,24.0,30.0,27.0,6.0,No
JEEP Grand Cherokee,4.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,14.0,19.0,15.0,3,no,KIA Soul,1.6,4.0,SemiAuto-6,2WD,Gasoline,station wagon,3.0,25.0,30.0,27.0,6.0,No
JEEP Grand Cherokee,4.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,14.0,19.0,15.0,3,no,KIA Soul,2.0,4.0,SemiAuto-6,2WD,Gasoline,station wagon,7.0,25.0,30.0,27.0,6.0,No
JEEP Grand Cherokee,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,19.0,15.0,3,no,KIA Soul,2.0,4.0,SemiAuto-6,2WD,Gasoline,station wagon,5.0,25.0,30.0,27.0,6.0,No
JEEP Grand Cherokee,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3,no,KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,21.0,26.0,23.0,5.0,No
JEEP Grand Cherokee,6.1,8,Auto-L5,4WD,Gasoline,SUV,6.0,11.0,14.0,12.0,0,no,KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,20.0,23.0,21.0,4.0,No
JEEP Liberty,3.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,16.0,22.0,18.0,5,no,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7.0,22.0,29.0,25.0,5.0,No
JEEP Liberty,3.7,6,Auto-L4,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4,no,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5.0,22.0,29.0,25.0,5.0,No
JEEP Liberty,3.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,7.0,21.0,25.0,23.0,5.0,No
JEEP Liberty,3.7,6,Man-6,2WD,Gasoline,SUV,6.0,16.0,22.0,19.0,5,no,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5.0,21.0,25.0,23.0,5.0,No
JEEP Liberty,3.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,KIA Sportage FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7.0,23.0,30.0,26.0,5.0,No
JEEP Liberty,3.7,6,Man-6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,KIA Sportage FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5.0,23.0,30.0,26.0,5.0,No
JEEP Patriot,2.4,4,Man-5,2WD,Gasoline,SUV,7.0,23.0,28.0,25.0,7,yes,KIA Sportage FE,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,7.0,21.0,25.0,22.0,4.0,No
JEEP Patriot,2.4,4,Auto-AV,4WD,Gasoline,SUV,7.0,20.0,22.0,21.0,6,yes,KIA Sportage FE,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5.0,21.0,25.0,22.0,4.0,No
JEEP Patriot,2.4,4,Auto-AV,4WD,Gasoline,SUV,7.0,21.0,24.0,22.0,6,yes,LAMBORGHINI Aventador Coupe,6.5,12.0,AMS-7,4WD,Gasoline,small car,1.0,10.0,17.0,12.0,1.0,No
JEEP Patriot,2.4,4,Man-5,4WD,Gasoline,SUV,7.0,22.0,27.0,24.0,7,yes,LAMBORGHINI Aventador Roadster,6.5,12.0,AMS-7,4WD,Gasoline,small car,1.0,10.0,16.0,12.0,1.0,No
JEEP Wrangler,3.8,6,Auto-L4,2WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4,no,LAMBORGHINI Aventador S Coupe,6.5,12.0,AMS-7,4WD,Gasoline,small car,1.0,10.0,17.0,12.0,1.0,No
JEEP Wrangler,3.8,6,Man-6,2WD,Gasoline,SUV,7.0,16.0,21.0,18.0,5,no,LAMBORGHINI Aventador S Roadster,6.5,12.0,AMS-7,4WD,Gasoline,small car,1.0,10.0,16.0,12.0,1.0,No
JEEP Wrangler,3.8,6,Man-6,4WD,Gasoline,SUV,7.0,15.0,19.0,16.0,4,no,LAND ROVER Range Rover Velar,2.0,4.0,SemiAuto-8,4WD,Diesel,small SUV,1.0,26.0,30.0,28.0,5.0,No
JEEP Wrangler,3.8,6,Auto-L4,4WD,Gasoline,SUV,7.0,15.0,19.0,17.0,4,no,LAND ROVER Range Rover Velar,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7.0,21.0,27.0,23.0,5.0,No
KIA Amanti,3.8,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,19.0,5,no,LAND ROVER Range Rover Velar,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,7.0,18.0,24.0,20.0,4.0,No
KIA Optima,2.4,4,Auto-L5,2WD,Gasoline,midsize car,7.0,21.0,31.0,25.0,7,yes,LEXUS GX 460,4.6,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,15.0,18.0,16.0,2.0,No
KIA Optima,2.4,4,Man-5,2WD,Gasoline,midsize car,7.0,21.0,31.0,25.0,7,yes,LEXUS LC 500,5.0,8.0,SemiAuto-10,2WD,Gasoline,small car,5.0,16.0,26.0,19.0,3.0,No
KIA Rio,1.6,4,Auto-L4,2WD,Gasoline,small car,7.0,25.0,35.0,29.0,8,yes,LEXUS LC 500h,3.5,6.0,SCV-10,2WD,Gasoline,small car,7.0,26.0,35.0,30.0,7.0,Yes
KIA Rio,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27.0,32.0,29.0,8,yes,LEXUS LX 570,5.7,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,13.0,18.0,15.0,2.0,No
KIA Rondo,2.4,4,Auto-L4,2WD,Gasoline,station wagon,7.0,19.0,26.0,22.0,6,yes,LINCOLN Continental,2.7,6.0,SemiAuto-6,2WD,Gasoline,large car,5.0,18.0,27.0,21.0,4.0,No
KIA Rondo,2.7,6,Auto-L5,2WD,Gasoline,station wagon,7.0,18.0,26.0,21.0,6,yes,LINCOLN Continental,2.7,6.0,SemiAuto-6,4WD,Gasoline,large car,5.0,17.0,25.0,20.0,4.0,No
KIA Sedona,3.8,6,Auto-L5,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5,no,LINCOLN Continental,3.0,6.0,SemiAuto-6,4WD,Gasoline,large car,5.0,16.0,24.0,19.0,3.0,No
KIA Sorento,3.8,6,Auto-L5,2WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,LINCOLN Continental,3.7,6.0,SemiAuto-6,2WD,Gasoline,large car,3.0,17.0,26.0,20.0,4.0,No
KIA Sorento,3.8,6,Auto-L5,4WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,LINCOLN Continental,3.7,6.0,SemiAuto-6,4WD,Gasoline,large car,3.0,16.0,24.0,19.0,3.0,No
